Index,Headline
116,"
७ सय ५० युवालाई स्वरोजगार बनाउँदै पोखरा महानगरपालिकाका"
117,"
व्याज र प्रतिफल योगदानकर्ताको खातामा"
118,"
‘इन्टर्न’ माथिको शोषण रोक्न जिफन्टले अभियान चलाउने"
119,"
विश्वभरीमा एसियाली देशका पासपोर्ट शक्तिशाली"
120,"
दुई महिनादेखि दुबईमा अलपत्र शव दुर्गा प्रसाईंको पहलमा नेपाल आइपुग्यो"
121,"
निजामति कर्मचारीहरुको बढेको तलब आजदेखि लागू, हेर्नुहोस् कसको कति छ"
122,"
वैदेशीक रोजगारीका लागि यो वर्ष ऐतिहासिक"
123,"
७३,१२९ स्टार्टअप दर्तामध्ये गुजरात पहिलो स्थानमा"
124,"
‘वैदेशिक रोजगारीमा मृत्यु भएकाहरुको लागि आठ महिनामै ६५ करोड खर्च गरिसक्यौँ’"
125,"
बिश्व प्रकाश शर्माले अमेरिकाको नर्थ क्यारोलाइनामा हुने एनआरएनए सम्मेलनमा भाग लिने"
126,"
‘क्षमता भएर पनि धेरै युवालाई स्वरोजगार बनाउन सकेनौं’"
127,"
भारतमा करारमा काम गर्ने कामदारको संख्या २ करोड ३५ लाख पुग्ने"
128,"
नेपालको कुरिलो भारतमा निर्यात"
129,"
कतारमा कार्यरत महिला श्रमिकका लागि स्वास्थ्यसम्बन्धी जनचेतना"
130,"
कर्मचारी महासंघको अध्यक्षमा श्रेष्ठ"
131,"
बेरोजगारी अन्त्य गर्न यस्ता छन् प्रदेश सरकारका कार्यक्रम"
132,"
रोजगारसँग सम्बन्धित सबै कोषलाई मर्ज गरौं"
133,"
कर्मचारी नियुक्तिमा यतिसम्म भएछ .."
134,"
नेपाली कामदार जाने क्रम बढ्दै, नयाँ देश पनि रोजगारीका लागि थपिदै"
135,"
कर्मचारी समायोजनसम्बन्धी विवाद बृहत् पूर्ण इजलासमा"
136,"
वैदेशिक रोजगारीको नाममा साढे दुई करोड ठगी, पाँच पक्राउ"
137,"
कुन पदको सरकारी कर्मचारीले कति तलब पाउँछन् ?"
138,"
पोर्चुगलमा एक नेपाली युवा बेपत्ता, खोजी गरिदिन परिवारको आग्रह"
139,"
भोलिदेखि अनलाइनबाट व्यक्तिगत श्रम स्वीकृति"
140,"
युएईमा बेरोजगारलाई बीमा मार्फत रकम दिइने"
141,"
भारतमा आर्थिक सुधारसँगै रोजगारीमा पनि भारी वृद्धि"
142,"
विदेश जाने नेपालीको संख्या वृद्धि, एक महिनामा ३६ हजारले लिए श्रम स्वीकृति"
143,"
योग्यता अनुसारको जागीर दिँदै कुमारी जब"
144,"
मट्टितेलको बत्ती बालेर पढेकी सुरभी गौतमको आइएएससम्मको सफलताको कथा"
145,"
वैदेशिक रोजगारीमा जाने व्यक्तिको अभिमुखीकरण तालिममा कडाइ गरिने"
146,"
कामको खोजीमा १५ सयभन्दा बढी विदेशी कामदार नेपालमा"
147,"
नवनियुक्त शाखा अधिकृतहरुलाई मन्त्री श्रेष्ठको निर्देशन"
148,"
बेलायत, माल्दिभ्स, सिसेल्स र इजरायलसँग श्रम गर्ने तयारी"
149,"
‘वैदेशिक रोजगार कल्याणकारी सूचना व्यवस्थापन प्रणाली’ कार्यान्वयनमा"
150,"
गैरआवासीय नेपालीलाई नेपालमा लगानी गर्न आग्रह"
151,"
एनरआएनएको विवाद मिल्यो, अब दुई अध्यक्ष हुने !"
152,"
एनआरएनएको निर्वाचन फेरि स्थगित"
153,"
नेपाल क्लियरिङ हाउसमा रोजगारीको अवसर"
154,"
‘भिजिट भिसा’बाट सिर्जित समस्या समाधान गर्न नेपाल र युएईका श्रममन्त्री सहमत"
155,"
कर्मचारीहरु नागरिकप्रति उत्तरदायी बन्नुपर्नेमा मन्त्री श्रेष्ठको जोड"
156,"
नेप्सेमा जागिर खुल्यो"
157,"
म्यादी प्रहरीमा जागीर खुलाएको छैनः नेपाल प्रहरी"
158,"
उपत्यकामै ‘जब सेन्टर’ खोलेर ठगी"
159,"
युएइमा काम गर्न जाँदै हुनुहुन्छ ? पहिला भिसाका लागि आवश्यक पर्ने यी १० नियम पढ्नुहोस्"
160,"
कर्मचारी युनियनको अध्यक्षमा कांग्रेस निकट पोखरेल विजयी"
161,"
१७४ जना रोजगारीका लागि सोमबार कोरिया जाँदै"
162,"
बेलायती अध्यागमनमा नयाँ नियम"
163,"
प्रदेशका कर्मचारीको ओएण्डएम दर्ता हुने व्यवस्था मिलाउन आग्रह"
164,"
क्वालालम्पुरस्थित दूतावासबाट विद्युतीय राहदानी नवीकरणको ‘लाइभ इनरोलमेन्ट’"
165,"
विदेशमा नेपाली कामदारको माग बढ्यो, एक महिनामै ५३ हजारले लिए स्विकृति"
